Reference, Quantity, Value, Footprint, Datasheet
C1 C2 C5 C6 ,4,"100n","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
C10 ,1,"100n","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm",""
C11 ,1,"22µ","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
C3 C4 ,2,"22µ","Capacitors_THT:CP_Radial_D4.0mm_P2.00mm",""
C7 C8 ,2,"1µ","Capacitors_THT:CP_Radial_D4.0mm_P2.00mm",""
C9 ,1,"4.7µ","Capacitors_THT:CP_Radial_D4.0mm_P2.00mm",""
D1 D2 ,2,"ZF12","Diodes_THT:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp",""
D11 D13 ,2,"1N4004","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
D12 ,1,"ZF12","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp",""
D14 ,1,"P6KE15","Diodes_THT:D_DO-201AD_P12.70mm_Horizontal",""
D15 D16 ,2,"BAT42","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp",""
D10 D3 D4 D5 D6 D7 D8 D9 ,8,"BAT42","Diodes_THT:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp",""
F1 ,1,"0.2A","Fuse_Holders_and_Fuses:Fuseholder_Fuse_TR5_Littlefuse-No560_No460",""
J1 ,1,"Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
J10 ,1,"RESET","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
J11 ,1,"DB25_Male_MountingHoles","Connector_Dsub:DSUB-25_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm"," ~"
J4 ,1,"LONET","Pin_Headers:Pin_Header_Straight_1x09_Pitch2.54mm",""
J5 ,1,"X1","Pin_Headers:Pin_Header_Straight_1x07_Pitch2.54mm",""
J6 ,1,"5V_REG","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
JP1 ,1,"Jumper_NC_Dual","Connectors:GS3",""
JP2 ,1,"Jumper_NC_Small","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
L1 ,1,"47µ","Inductors_THT:L_Radial_D8.7mm_P5.00mm_Fastron_07HCP",""
MH1 MH2 ,2,"MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
MS1 ,1,"FEATHERWING","BusPuter:FEATHERWING",""
OK1 ,1,"PC817","Housings_DIP:DIP-4_W7.62mm_LongPads",""
Q1 ,1,"BC547","TO_SOT_Packages_THT:TO-92_Inline_Wide",""
R1 R2 R3 R4 ,4,"82k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R12 ,1,"82k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R13 ,1,"1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R14 ,1,"22k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",""
R5 R6 ,2,"22k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",""
R7 R8 ,2,"39k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",""
R10 R11 R9 ,3,"4.7k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
RV1 ,1,"POT","Potentiometer_THT:Potentiometer_Piher_PT-6-V_Vertical",""
